Lethbridge Col | Ambrose
Lethbridge Col | Grande Prairie
Ambrose | Grande Prairie
S Alberta Tech | Grande Prairie
Regina | Lakehead
Regina | Lakehead
Olds | St Marys AB
Laurier | Memorial
Ryerson | Manitoba
Victoria | Saskatchewan
Keyano | Ambrose
Carleton ON | St Fran Xavier
Bishops | Acadia
Concordia QC | Queens ON
Ryerson | Saskatchewan
Lakehead | Winnipeg
Dalhousie | Toronto
Manitoba | Victoria
Lethbridge Col | Medicine Hat
Memorial | Waterloo
Lakehead | Winnipeg
Carleton ON | Bishops
Algoma | Laurentian
Acadia | St Fran Xavier
Dalhousie | York ON
Saskatchewan | Manitoba
Ryerson | Victoria
Guelph | Memorial
Queens ON | Laval
St Fran Xavier | Bishops
Carleton ON | Acadia
Dalhousie | McMaster
Memorial | York ON
York ON | UPEI
Guelph | UPEI
Victoria | Laval
Laurier | UPEI
Windsor | Trinity Western
Keyano | Red Deer
Medicine Hat | Ambrose
Lakeland AB | Briercrest
Univ Lethbridge | Brandon
Waterloo | Acadia
Univ Lethbridge | Winnipeg
Dalhousie | St Marys NS
Alberta | Toronto
UQAM | UPEI
St Fran Xavier | Cape Breton
Concordia QC | Regina
McGill | Brock
Northern BC | Windsor
Brit Columbia | Laval
Douglas | Lethbridge Col
Olds | Concordia AB
S Alberta Tech | Augustana AB
Humber | Montmorency
Keyano | Kings AB
Manitoba | York ON
Regina | Waterloo
McGill | UPEI
Alberta | McMaster
York ON | Winnipeg
St Marys NS | Cape Breton
UQAM | Ryerson
Acadia | Concordia QC
St Fran Xavier | Dalhousie
Laval | Northern BC
Brit Columbia | Windsor
Augustana AB | Lethbridge Col
Red Deer | Kings AB
Douglas | Olds
S Alberta Tech | Concordia AB
Brebeuf | Humber
Univ Lethbridge | Manitoba
Dawson | St Clair
St Clair | Vanier
Regina | Acadia
Brock | UPEI
Concordia QC | Waterloo
S Alberta Tech | Douglas
Augustana AB | Olds
Lethbridge Col | Concordia AB
Ryerson | McGill
York ON | Univ Lethbridge
Ottawa ON | Bishops
Brit Columbia | Laurier
Acadia | Brock
Dalhousie | Waterloo
Col of Idaho | New Hope Chr
Eastern Oregon | Salish Kootenai
Calgary | St Fran Xavier
Ottawa ON | Brit Columbia
Bishops | Waterloo
St Marys NS | Brock
Dalhousie | Laurier
Regina | UPEI
Thompson Riv | Grant MacEwan
Queens ON | New Brunswick
Brandon | Winnipeg
Concordia AB | Augustana AB
Keyano | Kings AB
S Alberta Tech | Briercrest
Ambrose | Red Deer
Medicine Hat | St Marys AB
Carleton ON | Guelph
Vanier | Sainte-Foy
Brebeuf | John Abbott
St Lambert | Montmorency
Dawson | Outaouais
Victoria | Concordia QC
Eastern Oregon | New Hope Chr
Dalhousie | Ottawa ON
Bishops | Laurier
St Marys NS | Calgary
New Brunswick | UQAM
Grant MacEwan | UBC-Okanagan
McMaster | UPEI
Brit Columbia | Waterloo
Alberta | Mt Royal
Keyano | Kings AB
St Marys AB | Briercrest
Concordia AB | Augustana AB
Medicine Hat | Olds
S Alberta Tech | Lethbridge Col
Carleton ON | Victoria
Concordia QC | Guelph
Regina | McMaster
Calgary | Acadia
Queens ON | UQAM
Carleton ON | Concordia QC
Guelph | Victoria
Grant MacEwan | Nipissing
New Brunswick | Laval
Western ON | Mt Royal
Saskatchewan | Trinity Western
Northern BC | Thompson Riv
Lambton | Conestoga
Providence GF | Salish Kootenai
New Brunswick | Laurier
Mt Royal | Guelph
Brit Columbia | Brock
St Marys NS | Concordia QC
Toronto | St Fran Xavier
McMaster | Cape Breton
UQAM | Ottawa ON
Nipissing | Trinity Western
Northern BC | UBC-Okanagan
Saskatchewan | Grant MacEwan
Alberta | Lakehead
Centennial Col | Fleming
Seneca | Georgian
Niagara ON | Redeemer
Humber | Fanshawe
Augustana AB | Keyano
S Alberta Tech | St Marys AB
Kings AB | Grande Prairie
Lakeland AB | N Alberta Tech
Red Deer | Olds
Vanier | St Lambert
Montmorency | Ed Montpetit
Brebeuf | Dawson
Durham | St Lawrence ON
Brandon | Valley City St
Bethany KS | Midland NE
IN Wesleyan | Governors St
Corban | Camosun
MT Western | Salish Kootenai
Ryerson | Mt Royal
Cape Breton | York ON
Trinity Western | Grant MacEwan
Thompson Riv | UBC-Okanagan
St Marys NS | UQAM
McMaster | St Fran Xavier
Ottawa ON | McGill
Brit Columbia | Lakehead
Windsor | Waterloo
Alberta | Brock
Mohawk | UT-Mississauga
George Brown | Loyalist
Sheridan ON | St Clair
Keyano | Augustana AB
Grande Prairie | Kings AB
Ambrose | Lethbridge Col
Medicine Hat | Briercrest
N Alberta Tech | Lakeland AB
Sainte-Foy | Outaouais
Jamestown | Brandon
Laval | Laurier
Saskatchewan | Nipissing
Guelph | Toronto
Warner Pacific | Camosun
Guelph | Cape Breton
Ryerson | St Fran Xavier
McGill | St Marys NS
Jamestown | Brandon
Carroll MT | Eastern Oregon
OK Wesleyan | St Thomas TX
Bryan | Asbury
IN S Bend | Concordia MI
Wm Jessup | Pacific Union
Spring Arbor | East-West
Indiana NW | St Xavier IL
Jamestown | Presentation
Western ON | Guelph
McMaster | Waterloo
Georgian | Durham
Algonquin | La Cite
Redeemer | UT-Mississauga
