Calgary | Grant MacEwan
Lakehead | Algoma
Lakehead | Algoma
Ottawa ON | Concordia QC
Okanagan Col | Ambrose
Laurentian | Nipissing
Western ON | Trinity Western
Augustana AB | Ambrose
Olds | Kings AB
Lethbridge Col | Lakeland AB
N Alberta Tech | Briercrest
Medicine Hat | Douglas
Keyano | Red Deer
S Alberta Tech | Grande Prairie
Carleton ON | Waterloo
Regina | Ottawa ON
New Brunswick | St Marys NS
Toronto | Dalhousie
UQAM | Brandon
Algoma | Nipissing
York ON | Brit Columbia
Windsor | Trinity Western
Cape Breton | Queens ON
Manitoba | Grant MacEwan
Northern BC | Victoria
Medicine Hat | N Alberta Tech
Briercrest | Grande Prairie
Olds | Keyano
Augustana AB | Lethbridge Col
Lakeland AB | Red Deer
S Alberta Tech | Douglas
Ambrose | Kings AB
Carleton ON | St Marys NS
Laval | Regina
Laurentian | Algoma
Queens ON | Brandon
Windsor | Trinity Western
New Brunswick | Waterloo
York ON | Dalhousie
Brit Columbia | Toronto
Concordia QC | Univ Lethbridge
Northern BC | Victoria
Manitoba | Grant MacEwan
UQAM | Cape Breton
Keyano | Briercrest
Olds | Douglas
Lethbridge Col | Grande Prairie
Medicine Hat | Lakeland AB
Augustana AB | Red Deer
N Alberta Tech | Ambrose
S Alberta Tech | Kings AB
Univ Lethbridge | McGill
Carleton ON | New Brunswick
Cape Breton | Brandon
Laval | Ottawa ON
Queens ON | UQAM
Brit Columbia | McMaster
St Marys NS | Waterloo
Ryerson | Dalhousie
Northern BC | Laurier
Ottawa ON | McGill
Brit Columbia | Fraser Val
Lakeland AB | Briercrest
Keyano | S Alberta Tech
Red Deer | Okanagan Col
UPEI | Laurentian
Winnipeg | Brandon
Concordia QC | Memorial
Carleton ON | McGill
Kings AB | Red Deer
Medicine Hat | S Alberta Tech
Keyano | Okanagan Col
Memorial | Laurentian
Lakehead | Winnipeg
Concordia QC | UPEI
Keyano | Red Deer
Concordia AB | Okanagan Col
UPEI | Memorial
Winnipeg | Manitoba
Concordia QC | Laurentian
McMaster | Alberta
Regina | Lakehead
Laurier | Mt Royal
Ottawa ON | Manitoba
Waterloo | Grant MacEwan
Memorial | Brock
Univ Lethbridge | Lakehead
Saskatchewan | Regina
Laurier | Grant MacEwan
Laval | Acadia
Ottawa ON | Brock
Windsor | St Marys NS
UPEI | Cape Breton
Ryerson | Bishops
Saskatchewan | Lakehead
York ON | New Brunswick
Alberta | Queens ON
Memorial | Manitoba
Guelph | Dalhousie
McGill | UBC-Okanagan
Regina | Univ Lethbridge
Waterloo | Mt Royal
Ambrose | Red Deer
S Alberta Tech | Briercrest
Medicine Hat | St Marys AB
Augustana AB | Concordia AB
Keyano | Kings AB
Cape Breton | St Fran Xavier
McMaster | Victoria
Laval | Alberta
Brock | Manitoba
New Brunswick | York ON
Queens ON | Acadia
Mt Royal | Grant MacEwan
Ottawa ON | Memorial
Guelph | Windsor
Ryerson | McGill
Laurier | Waterloo
Bishops | UBC-Okanagan
Dalhousie | St Marys NS
Brandon | Winnipeg
Keyano | Kings AB
St Marys AB | Briercrest
Medicine Hat | Olds
Lethbridge Col | S Alberta Tech
Concordia AB | Augustana AB
St Marys NS | Guelph
Dalhousie | Windsor
New Brunswick | York ON
Ryerson | UBC-Okanagan
Acadia | Alberta
Laval | Queens ON
Laval | New Brunswick
Northern BC | Thompson Riv
Brit Columbia | Calgary
St Fran Xavier | Nipissing
Univ Lethbridge | Fraser Val
Acadia | Laurentian
Cape Breton | UQAM
Victoria | Alberta
Windsor | Waterloo
Lambton | Conestoga
MT St Northern | Mt Royal
Seneca | Georgian
Fanshawe | Humber
Niagara ON | Redeemer
St Marys AB | S Alberta Tech
Lakeland AB | N Alberta Tech
Olds | Red Deer
Augustana AB | Keyano
Kings AB | Grande Prairie
Univ of Southwest | Central Chr
Cincinnati Chr | Kentucky Chr
Simpson CA | Walla Walla
Providence GF | Mt Royal
UT-Mississauga | Mohawk
George Brown | Loyalist
Sheridan ON | St Clair
Augustana AB | Keyano
Kings AB | Grande Prairie
Lethbridge Col | Ambrose
N Alberta Tech | Lakeland AB
Medicine Hat | Briercrest
Simpson CA | Walla Walla
Corban | Vancouver Island
UQAM | Nipissing
Cape Breton | St Fran Xavier
Concordia QC | Laurentian
Alberta | Trinity Western
Univ Lethbridge | Thompson Riv
Jamestown | Dickinson St ND
Georgetown KY | Cincinnati Chr
Aquinas | Indiana NW
Trinity Chr | Cornerstone
IN S Bend | Grace IN
Jamestown | Presentation
Guelph | Western ON
McMaster | Waterloo
UT-Mississauga | Redeemer
Durham | Georgian
Conestoga | Niagara ON
Fanshawe | Lambton
Florida National | Toccoa Falls
Edward Waters | Allen
Bethany KS | St Mary NE
Northwestern IA | Dakota St
Doane | KS Wesleyan
LSU-Alexandria | Southern N.O.
N New Mexico | Univ of Southwest
Wm Jessup | Pacific Union
Ave Maria | Trinity FL
MT Tech | Yellowstone Chr
Alberta | Grant MacEwan
Seneca | Centennial Col
Cal Maritime | Westcliff
MT St Northern | Northwest WA
Arizona Chr | Antelope Val
Taylor IN | Asbury
Campbellsville | Brescia
Viterbo | Card Stritch
Concordia NE | IN Wesleyan
KS Wesleyan | St Mary NE
Shawnee St | Kentucky Chr
Lawrence Tech | Ohio Chr
Talladega | Life
St Francis IL | Madonna
MI Dearborn | Point Park
MO Baptist | Olivet Naz
Panhandle St | Univ of Southwest
Providence GF | Northwest Chr
Cal Maritime | Life Pacific
Bellevue | Randall
Queens ON | York ON
Carleton ON | Ottawa ON
Lakehead | Algoma
Ryerson | Toronto
Laurier | Brock
Laurentian | Nipissing
Victoria | Winnipeg
Manitoba | Brandon
Regina | Calgary
Northern BC | Mt Royal
Trinity Western | UBC-Okanagan
Brit Columbia | Saskatchewan
Fraser Val | Thompson Riv
Martin Meth | Governors St
Pikeville | Florida National
Wilberforce | Voorhees
George Brown | Algonquin
Concordia AB | Keyano
Augustana AB | Lakeland AB
Olds | Ambrose
St Marys AB | Red Deer
N Alberta Tech | Grande Prairie
Medicine Hat | Lethbridge Col
Grace IN | Cornerstone
Life | Faulkner
Warner Pacific | Simpson CA
Governors St | Fisk
Holy Cross IN | Goshen
Indiana NW | Judson IL
Providence GF | Northwest WA
TN Wesleyan | Coastal GA
FL Memorial | Edward Waters
Graceland | York NE
Taylor IN | Madonna
Shawnee St | Northwestern OH
MT St Northern | Northwest Chr
St Francis IL | Asbury
Bethel IN | Roosevelt
Bethel TN | Brescia
Card Stritch | IN Wesleyan
IU Kokomo | Mt Vernon Naz
Spring Arbor | IN S Bend
Lawrence Tech | Point Park
MI Dearborn | Ohio Chr
Allen | Wilberforce
Hope Intl | Cal Maritime
Panhandle St | N New Mexico
Ottawa AZ | St Katherine
Webber | Trinity FL
Concordia NE | Viterbo
Dordt | Waldorf
Arizona Chr | La Sierra
Harris-Stowe | Cottey
Trinity Chr | Lincoln Col
Brenau | Carver Bib
Campbellsville | Hiwassee
McMaster | Windsor
Alberta | Grant MacEwan
Lakehead | Algoma
Western ON | Laurier
Guelph | Brock
Manitoba | Brandon
Regina | Calgary
Victoria | Winnipeg
Trinity Western | UBC-Okanagan
Fraser Val | Thompson Riv
Saskatchewan | Brit Columbia
Cumberlands KY | Florida National
Fanshawe | Conestoga
St Clair | Redeemer
Algonquin | George Brown
Sheridan ON | Sault
Loyalist | Georgian
St Thomas NB | Holland
Keyano | Concordia AB
N Alberta Tech | Grande Prairie
Olds | Ambrose
Augustana AB | Lakeland AB
Northern BC | Mt Royal
LSU-Alexandria | Loyola NO
Sheridan ON | Sault
MS Vincent NS | Mt Allison
Corban | Wm Jessup
Col Ozarks | Tabor
Bellevue | St Mary NE
Bethel TN | Crowleys Ridge
Bryan | Coastal GA
Paul Quinn | Philander Smith
Texas Col | Southern N.O.
Haskell | Bethany KS
Warner | Florida National
Bethel IN | Holy Cross IN
IN Wesleyan | Cornerstone
Goshen | Aquinas
Asbury | Kentucky Chr
Dakota Wesleyan | Valley City St
Judson IL | Silver Lake
Taylor IN | Northwestern OH
Rochester MI | Spring Arbor
WV Tech | Bluefield VA
Briar Cliff | Dakota St
Corban | Pacific Union
Indiana Tech | Huntington
Indiana NW | Roosevelt
Grace IN | Wright St-Lake
Sterling | Bacone
Life | Fisk
KS Wesleyan | Hastings
St Thomas FL | Virgin Islands
Faulkner | Pensacola Chr
Southern N.O. | Jarvis Chr
Durham | Centennial Col
Fanshawe | Mohawk
ME Machias | Unity
Rust | Oakwood
Thomas GA | Point
IU Kokomo | IN S Bend
Virgin Islands | J&W FL
Mid-Am Chr | Southwestern KS
Xavier LA | Stillman
Mt Marty | Waldorf
Midland NE | Cent Methodist
Dillard | Jarvis Chr
Wm Woods | Lincoln Col
Ryerson | Guelph
Fisk | Brescia
Univ of Southwest | N New Mexico
Dyersburg St | Ark Baptist
Bossier Parish | Baton Rouge CC
East Central CC | Bishop St
C Arizona | Howard Col
E Mississippi CC | Coastal AL-Mon
Redlands CC | Coffeyville CC
Collin Co | Paris JC
Odessa | Colorado NW
Copiah-Lincoln | Holmes CC
Pearl River CC | Delgado CC
Harford CC | Northern Virginia CC
Iowa Western CC | Highland CC IL
Hinds CC | MS Delta
Itawamba CC | Lawson St
Lake Region | Williston St
Wallace CC-Selma | Meridian CC
Midland TX | Mesa CC
Miles CC | ND St Science
New Mexico JC | N OK-Enid
Santa Fe CC | S Georgia Tech
South Plains | Tohono Oodham
Three Rivers | Mid-South CC
Western Texas | Phoenix Col
Ancilla | Kankakee CC
Essex CC | Northampton CC
Onondaga CC | Genesee CC
Potomac St-WVU | Howard CC MD
Elgin CC | Illinois Val
Jamestown CC | Tompkins Cortland
McHenry Co | Madison Col
Monroe CC | Finger Lakes CC
Morton | Wilbur Wright
Sinclair CC | Anne Arundel
Cayuga CC | Herkimer Co
Passaic Co | Montgomery Co CC
Broome CC | Schenectady Co
Freed-Hardeman | Blue Mtn
Edward Waters | Webber
Chabot | Foothill Col
Bethel IN | Ohio Chr
Martin Meth | Bryan
Cumberlands KY | WV Tech
MT Tech | Dickinson St ND
Marian IN | Indiana Tech
St Louis Pharm | Missouri Val
Lake Co | Harper
SW Chr TX | Cedar Valley
Midland NE | Bellevue
Siena Hts | Lawrence Tech
Governors St | Concordia MI
Col of Dupage | Oakton CC
Carroll MT | Calumet-St Jos
Union KY | Kentucky Chr
Neosho Co | Labette CC
Angelina | SW Mississippi
Voorhees | Brenau
Coastal GA | Brewton-Parker
Motlow St | East Georgia Col
Danville CC IL | Rend Lake
Hudson Val | Rockland CC
La Sierra | Life Pacific
Florida Col | Florida National
Humber | Niagara ON
Vancouver Island | Camosun
Green Mtn | Paul Smiths
Cin Clermont | Clark St
Mercyhurst NE | Bry & Strat-Cleveland
Wm Jessup | Oregon Tech
Baker KS | Ottawa KS
Xavier LA | FL Memorial
Langston | LSU-Alexandria
N OK-Tonkawa | Allen Co
Angelina | Baton Rouge CC
Baltimore City CC | Jefferson CC
Bismarck St | Dakota-Bottineau
Broward CC | FL Southwestern
Butler Co-KS | Kirkwood CC
Casper College | Otero JC
C Arizona | New Mexico JC
Pensacola St | Cent Georgia Tech
Trinidad St JC | Clarendon
MS Gulf Coast | Coastal AL-BM
McLennan CC | Coastal Bend
S Georgia Tech | Col Cent Florida
Southern Idaho | Laramie Co
South Plains | Colorado NW
Dawson CC | United Tribes
Gulf Coast CC | Daytona St
State Fair CC | Dodge City CC
E Florida St | Palm Beach St
Florida St-Jax | Indian River
Walters St | Georgia Highlands
Hillsborough CC | Miami-Dade
Howard Col | Phoenix Col
Independence CC | SW Illinois
Jefferson Col | Rend Lake
Cuyahoga CC | Kennedy-King
Seminole St | Kilgore
Little Priest | Lamar CC
Moberly Area | Marshalltown CC
Midland TX | Tohono Oodham
Northeastern JC | Northeast CC
Western Texas | N OK-Enid
Odessa | Mesa CC
Seward Co | W Nebraska CC
Snead St | Volunteer St
Eastern Utah | W Wyoming CC
Bay Col | Ellsworth CC
CCBC Catonsville | Lenoir CC
Harcum Col | Cecil Col
Fort Scott CC | N Central MO
N Iowa CC | IL Central
Johnson Co | Southwestern CC
Lake Land IL | N Arkansas
Lincoln Land | Southeastern CC
Louisburg | Montgomery-R
Moraine Val | Parkland
Schoolcraft | Lorain Co CC
Concordia NE | Peru St
Dordt | Valley City St
Graceland | Stephens
Viterbo | Silver Lake
Antelope Val CC | Bakersfield Col
Barstow CC | Col of the Desert
Mt San Antonio | Col of the Canyons
Citrus Col | San Bernardino Val
Diablo Val | De Anza Col
Saddleback | Long Beach City Col
Merced Col | Merritt
MiraCosta | Victor Valley
Mission | Porterville
Yuba | Ohlone
Rio Hondo | West LA Col
San Joaquin Delta | Solano CC
Col of the Sequoias | San Jose City Col
Santa Barbara City | Taft CC
Arizona Chr | Embry-Riddle AZ
Ave Maria | Virgin Islands
Bellevue | OK Wesleyan
Benedictine KS | St Mary KS
Shawnee St | Bluefield VA
Briar Cliff | St Xavier IL
MT Tech | Calumet-St Jos
Columbia MO | Card Stritch
McPherson | Central Chr
Col Ozarks | Southwestern KS
Huntington | Cornerstone
IN Wesleyan | Lindsey Wilson
William Penn | MO Baptist
Morningside | Olivet Naz
Mt Mercy | St Ambrose
Mt Vernon Naz | Roosevelt
Pikeville | Point Park
Trinity Valley CC | Grayson Co JC
Snow Col | Northwest WY
Crowder | National Park
Temple Col | Cedar Valley
Bethel KS | Panhandle St
Keiser | St Andrews
Northwestern IA | Friends
Clarke | Cottey
Culver-Stockton | Hannibal-Lagr
St Francis IN | Doane
Hastings | Haskell
UC Merced | Multnomah Bib
Butte Col | LA Southwest
Sierra Col | LA Harbor
Pasadena City Col | Riverside CC
Queens ON | Western ON
Toronto | Algoma
McMaster | Brock
Carleton ON | Laurier
Lakehead | Nipissing
Ottawa ON | Waterloo
Windsor | York ON
Shelton St | Roane St
Brewton-Parker | Warner
Cal Maritime | Eastern Oregon
Glen Oaks CC | Gogebic CC
SAU Tech | Coahoma CC
Fisher | Villa Maria
Cisco JC | Paris JC
Skyline | East LA Col
Feather River | Sacramento City
Sprfld Tech CC | Ulster Co
Middlesex Co | Prince Georges
Durham | Seneca
Algonquin | Loyalist
Sheridan ON | Redeemer
Langara | Douglas
Capilano | Columbia Bib
S Alberta Tech | Ambrose
Augustana AB | Grande Prairie
N Alberta Tech | Kings AB
Lakeland AB | Concordia AB
Olds | Briercrest
Piedmont Bap | Florida National
MI Dearborn | Wright St-Lake
Midway | St Mary-Woods
ME Ft Kent | Warren Wilson
Camosun | Okanagan Col
Wm Woods | Card Stritch
Columbia SC | Keiser
McPherson | Panhandle St
Wm Jessup | Northwest Chr
Reinhardt | Life
Doane | Peru St
LSU-Alexandria | FL Memorial
Goshen | Lourdes
Governors St | Grace IN
Southeastern FL | Indiana-East
Xavier LA | Langston
FL Southwestern | ASA Miami
Butler Co-KS | State Fair CC
C Arizona | Western Texas
Tallahassee CC | Cent Georgia Tech
Cent Wyoming | Otero JC
Pensacola St | Chattahoochee Val
Chipola | East Georgia Col
Cloud Co | North Platte CC
Temple Col | Coastal Bend
Connors St | Coffeyville CC
Sheridan WY | Southern Idaho
Collin Co | Eastern OK St
Midland TX | Colorado NW
Lake Land IL | Crowder
NW Florida St | Daytona St
Spartanburg Meth | Denmark Tech
Dodge City CC | Kirkwood CC
E Florida St | Indian River
Palm Beach St | Florida St-Jax
Trinidad St JC | Frank Phillips
Gadsden St CC | Wallace CC-Selma
W Nebraska CC | Garden City CC
Georgia Highlands | Roane St
Highland CC IL | Madison Col
Hill Col | Paris JC
Hillsborough CC | Santa Fe CC
N OK-Enid | Howard Col
Independence CC | Marshalltown CC
Kaskaskia | Danville CC IL
Glen Oaks CC | Kennedy-King
St Petersburg | Miami-Dade
Mineral Area | SE Illinois
Moberly Area | SW Illinois
New Mexico JC | Phoenix Col
Northeast CC | Iowa Cent
Highland CC KS | N OK-Tonkawa
Eastern Utah | Northwest WY
Odessa | Tohono Oodham
Vincennes | Olive-Harvey
Three Rivers | Olney
Elgin CC | Daley
Shelton St | Walters St
Snow Col | W Wyoming CC
South Plains | Mesa CC
Mid-Michigan CC | Alpena CC
Lewis & Clark CC | Mid-South CC
